session,mouse_id,depth,cell,on_subfield,off_subfield,on_center_x,on_center_y,off_center_x,off_center_y,on_off_center_distance
M409828_21,409828,50,0,[[5 8]],[],8.0,5.0,,,
M409828_21,409828,50,1,[],[[2 5]],,,5.0,2.0,
M409828_21,409828,50,2,[],[],,,,,
M409828_21,409828,50,4,[],[],,,,,
M409828_21,409828,50,5,[],[],,,,,
M409828_21,409828,50,7,[],[],,,,,
M409828_21,409828,50,9,[[2 5]],[],5.0,2.0,,,
M409828_21,409828,50,65,[[3 5]],[],5.0,3.0,,,
M409828_21,409828,50,149,[],[],,,,,
M409828_21,409828,66,0,[],[],,,,,
M409828_21,409828,66,1,[],[],,,,,
M409828_21,409828,66,2,[],[],,,,,
M409828_21,409828,66,3,[],[[2 6]],,,6.0,2.0,
M409828_21,409828,66,4,[],[],,,,,
M409828_21,409828,66,5,"[[2 5]
 [3 6]]",[],5.5,2.5,,,
M409828_21,409828,66,6,[],[],,,,,
M409828_21,409828,66,7,[],[],,,,,
M409828_21,409828,66,8,[],[],,,,,
M409828_21,409828,66,9,[],[],,,,,
M409828_21,409828,66,10,[],[],,,,,
M409828_21,409828,66,11,[],[],,,,,
M409828_21,409828,66,12,[[2 5]],[],5.0,2.0,,,
M409828_21,409828,66,13,[],[],,,,,
M409828_21,409828,66,14,[],[],,,,,
M409828_21,409828,66,15,[],[],,,,,
M409828_21,409828,66,16,[[3 6]],[],6.0,3.0,,,
M409828_21,409828,66,17,[],[],,,,,
M409828_21,409828,66,18,[],[],,,,,
M409828_21,409828,66,19,[],[],,,,,
M409828_21,409828,66,20,[],[],,,,,
M409828_21,409828,66,21,[],[],,,,,
M409828_21,409828,66,22,[[2 7]],[],7.0,2.0,,,
M409828_21,409828,66,23,[],[],,,,,
M409828_21,409828,66,24,"[[3 5]
 [3 4]
 [4 4]]",[],4.333333333333333,3.3333333333333335,,,
M409828_21,409828,66,25,"[[4 4]
 [4 5]]",[[4 4]],4.5,4.0,4.0,4.0,0.5
M409828_21,409828,66,27,[[6 7]],"[[3 5]
 [2 5]
 [3 4]]",7.0,6.0,4.666666666666667,2.6666666666666665,4.068851871911234
M409828_21,409828,66,28,[[2 4]],[],4.0,2.0,,,
M409828_21,409828,66,30,[],[],,,,,
M409828_21,409828,66,40,[],[],,,,,
