session,mouse_id,depth,cell,on_subfield,off_subfield,on_center_x,on_center_y,off_center_x,off_center_y,on_off_center_distance
M409828_21,409828,50,0,[[7 4]],[],4.0,7.0,,,
M409828_21,409828,50,1,[],[[4 6]],,,6.0,4.0,
M409828_21,409828,50,2,[],[],,,,,
M409828_21,409828,50,4,[],[],,,,,
M409828_21,409828,50,5,[],[],,,,,
M409828_21,409828,50,7,[],[],,,,,
M409828_21,409828,50,9,[[7 4]],[],4.0,7.0,,,
M409828_21,409828,50,65,[],[],,,,,
M409828_21,409828,50,149,[],[],,,,,
M409828_21,409828,66,0,[],[],,,,,
M409828_21,409828,66,1,[],[],,,,,
M409828_21,409828,66,2,[],[],,,,,
M409828_21,409828,66,3,[],[[6 2]],,,2.0,6.0,
M409828_21,409828,66,4,[],[],,,,,
M409828_21,409828,66,5,[[ 1 11]],[[1 4]],11.0,1.0,4.0,1.0,7.0
M409828_21,409828,66,6,[],[],,,,,
M409828_21,409828,66,7,[],[],,,,,
M409828_21,409828,66,8,[],[],,,,,
M409828_21,409828,66,9,[],[],,,,,
M409828_21,409828,66,10,[],[],,,,,
M409828_21,409828,66,11,[],[],,,,,
M409828_21,409828,66,12,[[0 9]],[[6 0]],9.0,0.0,0.0,6.0,10.816653826391969
M409828_21,409828,66,13,[],[],,,,,
M409828_21,409828,66,14,[],[],,,,,
M409828_21,409828,66,15,[],[],,,,,
M409828_21,409828,66,16,[[1 5]],[],5.0,1.0,,,
M409828_21,409828,66,17,[],[],,,,,
M409828_21,409828,66,18,[],[],,,,,
M409828_21,409828,66,19,[],[],,,,,
M409828_21,409828,66,20,[],[],,,,,
M409828_21,409828,66,21,[],[],,,,,
M409828_21,409828,66,22,[],[[7 3]],,,3.0,7.0,
M409828_21,409828,66,23,[],[],,,,,
M409828_21,409828,66,24,[[1 4]],[[2 6]],4.0,1.0,6.0,2.0,2.23606797749979
M409828_21,409828,66,25,[[0 4]],[[7 2]],4.0,0.0,2.0,7.0,7.280109889280518
M409828_21,409828,66,27,[[2 8]],[[3 3]],8.0,2.0,3.0,3.0,5.0990195135927845
